time,x,y,x1,y1,theta_left,theta_right,theta
4.46,48.0,169.0,92.0,171.0,0.0,0.0,0.0
4.48,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.5,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.52,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.54,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.56,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.58,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.6,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.62,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.64,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.66,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.68,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.7,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.72,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.74,48.0,169.0,92.0,170.0,0.0,0.0,0.0
4.76,48.0,169.0,92.0,171.0,0.0,0.0,0.0
4.78,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.8,48.0,169.0,92.0,171.0,0.0,0.0,0.0
4.82,48.0,169.0,92.0,171.0,0.0,0.0,0.0
4.84,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
4.86,48.0,169.0,92.0,171.0,0.0,0.0,0.0
4.88,48.0,169.0,92.0,171.0,0.0,0.0,0.0
4.9,48.0,169.0,92.0,171.0,0.0,0.0,0.0
4.92,48.0,169.0,92.0,171.0,0.0,0.0,0.0
4.94,48.0,169.0,92.0,171.0,0.0,0.0,0.0
4.96,48.0,169.0,92.0,171.0,0.0,0.0,0.0
4.98,48.0,169.0,92.0,171.0,0.0,0.0,0.0
5.0,48.0,169.0,92.0,171.0,0.0,0.0,0.0
5.02,48.0,169.0,92.0,171.0,0.0,0.0,0.0
5.04,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.06,48.0,169.0,92.0,171.0,0.0,0.0,0.0
5.08,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.1,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.12,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.14,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.16,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.18,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.2,47.0,170.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
5.22,47.0,169.0,91.0,171.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
5.24,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.26,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
5.28,48.0,169.0,91.0,171.0,0.0,-0.7990831790321913,-0.4378237807823959
